date,gender,height,weight,rating,review_text
25.08.23.,여성,159cm,58kg,4,"미니벨로를 구입했었는데 하나 더 주문한겁니다
기존꺼보다 약간 더 가벼워서 몋개의 계단도 옮길수 있어요"
25.08.22.,남성,163cm,52kg,5,만족합니다.  좋아요
25.08.20.,,,,5,자전거타기 무서워하는 아내 사줬더니 너무 편하다고 하네요. 바퀴가 두꺼워 핸들링도 안정감있고 …덕분이 한강 나갔다 왔네요
25.08.20.,여성,145cm,32kg,4,예뻐요.배송빠르고 좋아요 ㅎ
25.08.20.,남성,167cm,60kg,5,"좋아요 자전거 사이즈랑 딱이네여 
운동 잘 되겠내요>^^"
25.08.20.,여성,155cm,55kg,5,베이지 컬러감이 즇아요~~ 출퇴근용으로 잘쓸게요!
25.08.19.,여성,136cm,29kg,5,"어린이 자전거에서 업그레드해주었습니다 ㅋㅋ
아이가 좋아했으면 좋겠어요
서프라이즈로 놀래켜 주려 합니다"
25.08.19.,남성,163cm,52kg,5,만족합니다.  좋아요
25.08.18.,남성,170cm,66kg,4,빠르게 배송되었으며...반조립품으로 싸게 구입했습니다
25.08.17.,여성,166cm,60kg,5,"배송이 아주 빠르고 조립도 쉬웠어요
자전거도 아주 예쁘고 무게도 생각보다 가볍습니다.
조심히 즐겁게 라이딩하겠습니다."
25.08.17.,남성,180cm,83kg,5,"자건거 생활 3년차 로드 .mtb 애용중이며 근거리 이동차 구매하였습니다 
이가격  이 디자인에 이만한 물건 없습니다
추천합니다"
25.08.16.,,,,3,"뽑기를 잘 못했는지, 뒷 타이어 펑크만 3번째인데 
확인해보니 뒷바퀴 타이어 안쪽 휠이 문제여서 고무로 2겹 보강하고 잘타고 있습니다. 제품 자체는 예쁘고 좋습니다."
25.08.15.,남성,172cm,70kg,5,"배송 무척 빠르고 조립 간편합니다.
접었을 때 부피가 작아서  원룸 사는 사람으로서 너무 좋네요."
25.08.15.,남성,175cm,72kg,5,진짜 조아요. 사이즈며 모든면에서 최고요
25.08.14.,,,,5,"운동할겸 사서 잘 타고 있습니다
부담없이 편히 타시면서 다이어트 하세요^^"
25.08.13.,남성,130cm,29kg,5,"한달넘게 사용해본 아이가 별 다섯개 주라고 하네요
자전거 너무 가볍고 튼튼하고 좋아요
트렁크에 넣어다닐 접이식 자전거는 무조건 이걸로 추천합니다!!"
25.08.13.,남성,160cm,64kg,5,튼튼하고 이뻐서 만족합니다 번창하세요~
25.08.12.,,,,5,가성비 최고의 접이식 미니벨로입니다!!!!
25.08.11.,,,,5,"동네 마실 출퇴근용으로 구매했는데, 사이즈 적절하고 승차감 좋아서 만족합니다."
25.08.10.,,,,5,좋은제품 빠른배송 굿굿
25.08.09.,남성,177cm,73kg,5,초등3학년 아들 사줬는데 아직 키가 140이 안되서 조금 큰듯 하지만 잘 타네요. 자전거 이쁘고 좋아요
25.08.09.,남성,172cm,82kg,5,"삐걱거림 없이 튼튼하고,  변속 및 주행 질감이 좋아요."
25.08.09.,,,,5,깔끔하고 예쁜 자전거 감사합니다
25.08.08.,남성,172cm,67kg,5,"만족하며 잘타고 있습니다.
입문용으로는 좋습니다만 추천한다면
역시 50~60만원대가 좋을것같습니다."
25.08.08.,남성,174cm,70kg,5,집에서 지하철역까지 15분 걸었는데 5분거리더라고요 자전거타고는
25.08.08.,남성,182cm,80kg,5,접어도 작은사이즈라 보관하기 쉬워요
25.08.08.,남성,186cm,90kg,5,추천합니다 추천합니다 추천합니다
25.08.07.,여성,150cm,56kg,4,작은 키에 타기 적당해요
25.08.07.,,,,5,너무 깔끔하네요. 좋아요. 추천요
25.08.06.,,,,5,"아내를 위한 선물로 이제 같이 자전거 나들이 겸 구매했네욤
타이어가 공기압 이 30psi 밖에 안들어가는데 이거 타이어 밸브 쪽 너트를 더 조아야하나요?"
25.08.06.,,,,5,컴팩트하면서도 너무 작진않아서 승차감도 괜찮아요 깔끔합니다
25.08.05.,,,,4,"자전거박스가 다 터져서 배송되어서 기분이 좀 안좋았고, 안에 자전거는 꼼꼼하게 포장되어서 왔습니다
아직 타보진 않았지만 후기 또 남기겠습니다"
25.08.05.,남성,170cm,72kg,5,배송 잘 받았습니다~ 출퇴근용으로 작은걸로 구매했네요
25.08.05.,,,,5,아이가 너무 좋아하내요
25.08.02.,남성,150cm,40kg,5,아이가 디자인도 마음에 들어하고 보관이 용이 해서 좋습니다
25.08.02.,여성,135cm,31kg,4,자전거가 조금 무겁지만 아이가 타기에 좋아요
25.08.02.,,183cm,85kg,5,이쁘고 접이식이라 만족합니다.
25.08.01.,여성,160cm,53kg,5,가성비 너무 좋네요. 이가격대에 디자인 성능 다 좋아요.
25.08.01.,여성,,,3,이거보다윗단계살껄..쪼끔아숩긴한데그냥타기조아용
25.08.01.,남성,,,5,조립도 되게 쉽고 차에 넣어서 탈수있는게 장점이에요
25.07.31.,,,,5,아이부터 어른까지 탈수있어서 좋아요 무엇보다 예쁩니다^^
25.07.30.,,,,5,"전체적으로 만족합니다 
가성비 좋고 배송빠릅니다"
25.07.30.,,,,5,좋습니다.  성인이 타기에도 청소년이 타기에도.. 굿
25.07.29.,,,,5,배송도 빨랐고 문의사항있었는데 친절하게 답도 주셔서 정말 감사합니다😀 자전거도 너무 예뻐요
25.07.29.,남성,177cm,75kg,5,배송이 하루만에 와서 놀랐습니다. 약간 작지만 타기에 불편하지는 않네요. 좋습니다.
25.07.29.,여성,168cm,58kg,4,"입문용으론 좋아요
가성비도 짱"
25.07.27.,,,,5,"확실히 바퀴가 작아서 승차감은 좀 불안해요
여자들은 브이넥입었을때 좀 조심해야할것같아요
프리미엄바퀴덮개?는 절대 사지마세요 바퀴바람 다 빼고 다시조립해야합니다
그 단점을 다 덮는예쁨이 있습니다ㅎㅎ
지나가는 사람들이며 엘레베이터에서 마주치는 할아버지까지 자전거 예쁘다고 툭툭 던지고갑니다
밀짚모자에 라탄가방앞에두고가면 나는야 일본여주인공~ 현재 17번정도 탔는데 30도 이상에선 타지마세요 열사병걸렸습니다ㅠㅠ"
25.07.27.,,,,5,조립도 그냥 다되어 온 수준이네요
25.07.27.,남성,,,4,다 좋은데 기어변속과 브레이크만 나중에 교체하면 좋을 것 같아요.
25.07.26.,,,,5,선물용으로 좋아요 누구나 편하게 타기 좋은거 같아요
25.07.26.,,,,5,고맙습니다 잘쓰겠습니다
25.07.25.,,158cm,52kg,5,빠른배송감사합니다ㅎㅎㅎ
25.07.24.,,,,5,아주 잘 타고 있습니다. 접이식이라 차에 이동할때 좋아요
25.07.23.,남성,175cm,83kg,5,"회사 직원복지용으로 5대 구입했는데 
짱짱하니 좋아요"
25.07.23.,남성,175cm,83kg,5,"회사 직원복지용으로 5대 구입했는데 
짱짱하니 좋아요"
25.07.23.,남성,175cm,83kg,5,"회사 직원복지용으로 5대 구입했는데 
짱짱하니 좋아요"
25.07.23.,남성,175cm,83kg,5,"회사 직원복지용으로 5대 구입했는데 
짱짱하니 좋아요"
25.07.23.,남성,175cm,83kg,5,"회사 직원 복지용으로 5대 구입했는데 
짱짱하니 상태 좋습니다."
25.07.23.,,,,4,잘 나가고 관리자 대응도 좋네요
25.07.23.,,,,2,올해 후회되는 구매한것들 중 하나
25.07.22.,,,,5,디자인도 이쁘고 승차감도 좋고 빠른배송감사합니다
25.07.22.,,,,3,핸들 부분을 좌측으로 접어야 해서일까요? 핸들이 정면을 보지 않고 오른쪽으로 조금 틀어져 있습니다. 인터넷에 찾아보니 육각나사를 풀어서 맞출 수 있다는 글이 있는데 아직 시도해 보지는 않았어요. 길게 타보지 않아서 승차감은 아직 잘 모르겠어요. 자전거에 대해 잘 모르고 다른 자전거와 비교할 수는 없는데 접어서 운반이 쉬울만큼 가벼운 무게는 아닙니다.
25.07.22.,,,,5,튼튼하고 높이에 적응하면 여자가 타기 좋아요
25.07.22.,,,,5,"전반족으로 만족스러우나
안장통이 있어서 다른 것으로 교체예정
같이산 장바구니가 끼우기 너무 힘듬.. 끼우다가 스크래치 많이 남
이것도 교체 예정"
25.07.22.,,,,5,잘 쓰고 있습니다 감사합니다.
25.07.20.,여성,,,4,자전거 좋아해서 구매했는데 사실 날이 더워서 자전거를 못 타고 있어요 얼른 가을 돼서 자주 타고 다니고 싶네요🥹
25.07.20.,,,,5,완조립으로 주문했는데 추가적으로 조립할게 없어 편했습니다.
